Sample	Age	Cell_type	Cluster	Dataset
V-SVZ	Mouse adult	VSVZ-2 Oligodendrocytes	VSVZ-2 Oligodendrocytes	Mizrak et al 2019
V-SVZ	Mouse adult	VSVZ-2 T	VSVZ-2 T	Mizrak et al 2019
V-SVZ	Mouse adult	VSVZ-2 aNSC+TAC+NB	VSVZ-2 aNSC+TAC+NB	Mizrak et al 2019
Striatum	Mouse P9	Str/SVZ 0-Neurogenic progenitor	Str/SVZ 0-Neurogenic progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 1-SPN	Str/SVZ 1-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 10-Astrocytes	Str/SVZ 10-Astrocytes	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 11-Endothelial	Str/SVZ 11-Endothelial	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 13-SPN	Str/SVZ 13-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 14-SPN	Str/SVZ 14-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 15-OPCs	Str/SVZ 15-OPCs	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 16-OPCs	Str/SVZ 16-OPCs	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 17-SPN	Str/SVZ 17-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 18-Interneurons	Str/SVZ 18-Interneurons	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 19-Neurogenic progenitor	Str/SVZ 19-Neurogenic progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 2-Progenitor	Str/SVZ 2-Progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 21-Endothelial	Str/SVZ 21-Endothelial	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 23-Microglia	Str/SVZ 23-Microglia	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 24-SPN	Str/SVZ 24-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 25-SPN	Str/SVZ 25-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 26-Ependymal	Str/SVZ 26-Ependymal	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 27-SPN	Str/SVZ 27-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 28-SPN	Str/SVZ 28-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 29-SPN	Str/SVZ 29-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 3-Astrocytes	Str/SVZ 3-Astrocytes	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 33-Neurogenic progenitor	Str/SVZ 33-Neurogenic progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 34-Progenitor	Str/SVZ 34-Progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 35-Mural	Str/SVZ 35-Mural	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 36-Interneurons	Str/SVZ 36-Interneurons	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 37-Ctx excitatory neurons	Str/SVZ 37-Ctx excitatory neurons	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 38-SPN	Str/SVZ 38-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 39-Microglia	Str/SVZ 39-Microglia	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 4-OPCs	Str/SVZ 4-OPCs	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 40-Progenitor	Str/SVZ 40-Progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 41-Interneurons	Str/SVZ 41-Interneurons	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 42-Endothelial	Str/SVZ 42-Endothelial	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 43-Endothelial	Str/SVZ 43-Endothelial	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 5-Neurogenic progenitor	Str/SVZ 5-Neurogenic progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 6-SPN	Str/SVZ 6-SPN	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 7-Neurogenic progenitor	Str/SVZ 7-Neurogenic progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 8-Neurogenic progenitor	Str/SVZ 8-Neurogenic progenitor	Anderson et al 2020
Striatum	Mouse P9	Str/SVZ 9-Microglia	Str/SVZ 9-Microglia	Anderson et al 2020
