Signature	HSJD-GBM002_A10_p58	HSJD-GBM002_A10_p59	GBM002_cA10_p58	HSJD-GBM002_F06_p55	HSJD-GBM002_F06_p56	GBM002_cF06_p64	GBM002_cA10_p58_SerDif	GBM002_cF06_p64_SerDif	HSJD-GBM002_A09_p58	HSJD-GBM002_A09_p59	GBM002_cC08_p54	HSJD-GBM002_C08_p54	HSJD-GBM002_C08_p56	GBM002_cA09_p58	GBM002_cA09_p58_SerDif	GBM002_cC08_p58_SerDif
newborn_inhib_neuron	23327.272974864718	23419.34022998809	23261.264081200712	23217.570762923202	22985.400049607462	23157.0527896248	23100.32589570223	23088.673273071956	23561.110613777113	23432.856184858356	23346.925709318788	23329.2006875864	23137.950160538694	23065.83896017697	23810.95957175872	23407.871454948643
mature_inhib_neuron	16261.289717822687	15508.59065979157	14856.132751145009	16048.1926037199	14647.278967613733	14562.332237557917	14881.963429013269	14910.89685188025	16150.229486691913	15573.835134642983	15981.253794757067	15396.301807684322	14730.490974595723	14108.582963436907	15665.551995778293	15113.673834162393
opc	17479.822204043976	17615.709676539314	16994.588203917458	17613.212575208883	17221.527659909254	17086.702405788114	16977.901405935118	17171.522807553418	17435.81020443998	17404.906814339858	17246.87254454264	17191.282940750632	17121.883335274615	16615.805259265002	17421.647129792218	17328.148205502315
astrocyte	20414.49054747405	20733.017371747996	20292.843198159997	20426.860666434888	19754.43563187602	20007.320665655407	21078.39971533558	20464.73442433697	20616.091852602112	20590.275749183453	20490.874934257434	20351.56772429585	20377.991606571606	19984.261263184893	21352.018016232814	21018.185434671537
rgc	23382.61671680324	22698.73134569111	23236.912091840415	23822.042504835117	22959.188604331848	23090.23572633453	23206.611325702874	23517.26869033845	23362.561415191685	22996.8577176614	23106.263386447343	23375.287094653602	23586.342512809864	23337.85619776371	22694.15625058562	23012.805200457267
fetal_excit_neurons	14283.93368811927	14044.518618937174	12559.2917151184	15120.190889443782	13129.830659757734	12973.396922393105	12905.602348948538	13019.203271589457	14893.4515600031	13871.44151806953	14576.21688264755	14217.380329007201	12919.925087374593	12401.915961587894	13977.494232553692	13140.00922959187
